section_id,term,department,cross_list_group,course_description,section_number,title,credits,level,status,enrollment_limit,actual_enrollment,cross_list_enrollment,waitlist
70138,201770,HIST,-,ARTH 374,1,Art Now,3,Undergraduate - Upper Division,O,45,28,0,0
70139,201770,HIST,-,ARTH 374,DL1,Art Now,3,Undergraduate - Upper Division,O,40,25,0,0
80590,201770,HIST,-,ARTH 383,1,Arts of Southeast Asia,3,Undergraduate - Upper Division,O,40,19,0,0
82896,201770,HIST,-,ARTH 393,1,Art History Internships,6-Mar,Undergraduate - Upper Division,CN,30,0,0,0
80595,201770,HIST,34,ARTH 430,1,Ottoman Art,3,Undergraduate - Upper Division,O,8,8,14,0
80597,201770,HIST,-,ARTH 440,1,Controversies Renaissance Art,3,Undergraduate - Upper Division,O,15,14,0,0
80598,201770,HIST,38,ARTH 482,1,Art of British India,3,Undergraduate - Upper Division,WL,8,8,15,0
82898,201770,HIST,-,ARTH 593,2,Intern Art History/Deco Arts,6-Mar,Graduate - First,CN,30,1,0,0
72133,201770,HIST,38,ARTH 599,1,Art of British India,3,Graduate - First,WL,7,7,15,0
80596,201770,HIST,34,ARTH 599,3,Ottoman Art,3,Graduate - First,O,7,6,14,0
80594,201770,HIST,-,ARTH 600,1,Methods and Research in ARTH,3,Graduate - First,O,15,9,0,0
81460,201770,HIST,-,ARTH 630,1,The Historic House Museum,3,Graduate - First,O,18,0,0,0
81461,201770,HIST,-,ARTH 640,1,English Ceramics,3,Graduate - First,O,18,1,0,0
81462,201770,HIST,-,ARTH 650,1,The Art of the Book,3,Graduate - First,O,4,0,0,0
81463,201770,HIST,-,ARTH 660,1,Curatorial Praticum,3,Graduate - First,O,18,0,0,0
81465,201770,HIST,-,ARTH 670,2,18thC American Furniture,3,Graduate - First,O,18,1,0,0
81466,201770,HIST,-,ARTH 670,3,Topics in Modern Amer Textiles,3,Graduate - First,O,18,0,0,0
82174,201770,HIST,-,ARTH 670,4,Fashion in the Age of Revolutn,3,Graduate - First,O,18,0,0,0
70098,201770,HIST,G8,HIST 100,1,History of Western Civilizatin,3,Undergraduate - Lower Division,WL,53,52,52,4
70099,201770,HIST,G9,HIST 100,2,History of Western Civilizatin,3,Undergraduate - Lower Division,WL,120,117,117,5
70100,201770,HIST,-,HIST 100,3,History of Western Civilizatin,3,Undergraduate - Lower Division,O,130,123,0,7
70101,201770,HIST,-,HIST 100,4,History of Western Civilizatin,3,Undergraduate - Lower Division,WL,55,55,0,0
70102,201770,HIST,-,HIST 100,5,History of Western Civilizatin,3,Undergraduate - Lower Division,WL,55,55,0,0
70103,201770,HIST,-,HIST 100,6,History of Western Civilizatin,3,Undergraduate - Lower Division,WL,48,48,0,6
70104,201770,HIST,-,HIST 100,7,History of Western Civilizatin,3,Undergraduate - Lower Division,WL,55,53,0,4
70105,201770,HIST,-,HIST 100,8,History of Western Civilizatin,3,Undergraduate - Lower Division,WL,55,55,0,0
